mcg,gvh,alm,mit,erl,pox,vac,nuc,name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME2
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,ME2
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,NUC
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,ERL
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,EXC
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,CYT
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,CYT
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,ME3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,EXC
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,POX
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,POX
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME1
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME1
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME2
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,ME1
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,CYT
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,NUC
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,CYT
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,ME2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME2
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CYT
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,CYT
1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,MIT
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,NUC
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NUC
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NUC
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NUC
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,NUC
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME1
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,MIT
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,CYT
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,ME3
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,POX
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,MIT
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,MIT
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,MIT
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,MIT
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CYT
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,MIT
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,ME3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME2
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,ME1
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME2
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ERL
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME1
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,EXC
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,EXC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,ME3
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,CYT
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,ME1
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,ME2
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ERL
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,EXC
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME2
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,ME2
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME2
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME2
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,MIT
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,ME3
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,VAC
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,ME2
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,ME2
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,MIT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ME3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,ME2
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,ME3
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,NUC
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,CYT
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,MIT
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,POX
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,ME3
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,ME2
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,NUC
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,NUC
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,EXC
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ME3
1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CYT
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,CYT
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,EXC
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,EXC
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,EXC
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,MIT
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,NUC
0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,MIT
1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,NUC
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,CYT
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,POX
